[CPU 0] ens1f1np1 flows:     20, RX:  153896(pps) (err:     0),  0.11(Gbps), TX:  507279(pps),  6.20(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  156666(pps) (err:     0),  0.11(Gbps), TX:  509692(pps),  6.23(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  156206(pps) (err:     0),  0.11(Gbps), TX:  509536(pps),  6.23(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  156340(pps) (err:     0),  0.11(Gbps), TX:  509099(pps),  6.23(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX:  623108(pps) (err:     0),  0.45(Gbps), TX: 2035606(pps), 24.89(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  154651(pps) (err:     0),  0.11(Gbps), TX:  507656(pps),  6.21(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  156202(pps) (err:     0),  0.11(Gbps), TX:  509503(pps),  6.23(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  156205(pps) (err:     0),  0.11(Gbps), TX:  509326(pps),  6.23(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  155685(pps) (err:     0),  0.11(Gbps), TX:  509265(pps),  6.23(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX:  622743(pps) (err:     0),  0.45(Gbps), TX: 2035750(pps), 24.89(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  152628(pps) (err:     0),  0.11(Gbps), TX:  506870(pps),  6.20(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  157094(pps) (err:     0),  0.11(Gbps), TX:  509113(pps),  6.23(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  156416(pps) (err:     0),  0.11(Gbps), TX:  509962(pps),  6.24(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  156236(pps) (err:     0),  0.11(Gbps), TX:  509762(pps),  6.23(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX:  622374(pps) (err:     0),  0.45(Gbps), TX: 2035707(pps), 24.89(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  152794(pps) (err:     0),  0.11(Gbps), TX:  506822(pps),  6.20(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  156059(pps) (err:     0),  0.11(Gbps), TX:  508860(pps),  6.22(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  155458(pps) (err:     0),  0.11(Gbps), TX:  509470(pps),  6.23(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  157798(pps) (err:     0),  0.11(Gbps), TX:  509387(pps),  6.23(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX:  622109(pps) (err:     0),  0.45(Gbps), TX: 2034539(pps), 24.88(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  153261(pps) (err:     0),  0.11(Gbps), TX:  506805(pps),  6.20(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  156077(pps) (err:     0),  0.11(Gbps), TX:  509469(pps),  6.23(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  156570(pps) (err:     0),  0.11(Gbps), TX:  509448(pps),  6.23(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  155669(pps) (err:     0),  0.11(Gbps), TX:  508966(pps),  6.22(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX:  621577(pps) (err:     0),  0.45(Gbps), TX: 2034688(pps), 24.88(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  152097(pps) (err:     0),  0.11(Gbps), TX:  506890(pps),  6.20(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  155743(pps) (err:     0),  0.11(Gbps), TX:  509516(pps),  6.23(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  155519(pps) (err:     0),  0.11(Gbps), TX:  509510(pps),  6.23(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  156347(pps) (err:     0),  0.11(Gbps), TX:  509052(pps),  6.23(Gbps)
