[CPU 0] ens1f1np1 flows:     20, RX:  573570(pps) (err:     0),  0.41(Gbps), TX:  573684(pps),  5.94(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  604823(pps) (err:     0),  0.44(Gbps), TX:  604944(pps),  6.30(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  604336(pps) (err:     0),  0.44(Gbps), TX:  604479(pps),  6.29(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  604553(pps) (err:     0),  0.44(Gbps), TX:  604659(pps),  6.29(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 2387282(pps) (err:     0),  1.72(Gbps), TX: 2387766(pps), 24.82(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  572896(pps) (err:     0),  0.41(Gbps), TX:  572993(pps),  5.93(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  604729(pps) (err:     0),  0.44(Gbps), TX:  604854(pps),  6.30(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  603753(pps) (err:     0),  0.44(Gbps), TX:  603869(pps),  6.29(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  604702(pps) (err:     0),  0.44(Gbps), TX:  604840(pps),  6.30(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 2386080(pps) (err:     0),  1.72(Gbps), TX: 2386556(pps), 24.81(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  572666(pps) (err:     0),  0.41(Gbps), TX:  572782(pps),  5.94(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  604183(pps) (err:     0),  0.44(Gbps), TX:  604287(pps),  6.30(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  603593(pps) (err:     0),  0.44(Gbps), TX:  603729(pps),  6.29(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  603941(pps) (err:     0),  0.44(Gbps), TX:  604035(pps),  6.29(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 2384383(pps) (err:     0),  1.72(Gbps), TX: 2384833(pps), 24.82(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  572676(pps) (err:     0),  0.41(Gbps), TX:  572778(pps),  5.93(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  604785(pps) (err:     0),  0.44(Gbps), TX:  604903(pps),  6.30(Gbps)
