[CPU 0] ens1f1np1 flows:     20, RX:  238260(pps) (err:     0),  0.17(Gbps), TX:  526287(pps),  5.21(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  261023(pps) (err:     0),  0.19(Gbps), TX:  643677(pps),  6.56(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  260658(pps) (err:     0),  0.19(Gbps), TX:  643941(pps),  6.57(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  260698(pps) (err:     0),  0.19(Gbps), TX:  643845(pps),  6.56(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 1020639(pps) (err:     0),  0.74(Gbps), TX: 2457750(pps), 24.90(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  238417(pps) (err:     0),  0.17(Gbps), TX:  526391(pps),  5.20(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  261061(pps) (err:     0),  0.19(Gbps), TX:  643897(pps),  6.56(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  260620(pps) (err:     0),  0.19(Gbps), TX:  643853(pps),  6.56(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  260557(pps) (err:     0),  0.19(Gbps), TX:  643637(pps),  6.57(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 1020655(pps) (err:     0),  0.74(Gbps), TX: 2457778(pps), 24.89(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  238621(pps) (err:     0),  0.17(Gbps), TX:  527314(pps),  5.21(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  260853(pps) (err:     0),  0.19(Gbps), TX:  643671(pps),  6.56(Gbps)
[CPU 2] ens1f1np1 flows:     20, RX:  261000(pps) (err:     0),  0.19(Gbps), TX:  643719(pps),  6.57(Gbps)
[CPU 3] ens1f1np1 flows:     20, RX:  260434(pps) (err:     0),  0.19(Gbps), TX:  643632(pps),  6.56(Gbps)
[ ALL ] ens1f1np1 flows:     80, RX: 1020908(pps) (err:     0),  0.74(Gbps), TX: 2458336(pps), 24.90(Gbps)
[CPU 0] ens1f1np1 flows:     20, RX:  238530(pps) (err:     0),  0.17(Gbps), TX:  527766(pps),  5.21(Gbps)
[CPU 1] ens1f1np1 flows:     20, RX:  261034(pps) (err:     0),  0.19(Gbps), TX:  643916(pps),  6.56(Gbps)
